patient_id,full_name,gender,age,date_of_birth,district,national_id,phone,income_level,registration_date,is_active
PAT000157,Rahma Mwinyi,Female,16,2008-01-01,North A,ZNZ383473,255762138902,Lower-Middle,2020-06-06,1
PAT000158,Fatuma Khatib,Female,27,1997-01-01,North B,ZNZ699830,255715002828,Upper-Middle,2019-04-16,1
PAT000159,Hassan Abdallah,Male,25,1999-01-01,Urban West,ZNZ619904,255766235862,Lower-Middle,2021-01-03,1
PAT000160,Mwajuma Mwinyi,Female,29,1995-01-01,Chake-Chake,ZNZ187502,255722841272,Lower-Middle,2018-10-04,1
PAT000161,Khalid Khalid,Male,35,1989-01-01,Micheweni,ZNZ956051,255720782554,Upper-Middle,2020-07-28,1
PAT000162,Khadija Said,Female,39,1985-01-01,South Unguja,ZNZ786143,255738576855,Low,2022-07-27,1
PAT000163,Zuwena Khalid,Female,30,1994-01-01,North A,ZNZ153175,255729501490,Low,2021-09-28,1
PAT000164,Khadija Abdallah,Female,39,1985-01-01,North A,ZNZ248395,255761819951,Upper-Middle,2021-12-19,1
PAT000165,Suleiman Amour,Male,36,1988-01-01,Chake-Chake,ZNZ688510,255757942277,Low,2019-07-25,1
PAT000166,Maryam Hamisi,Female,2,2022-01-01,North B,ZNZ355539,255731006444,Middle,2022-03-15,1
PAT000167,Ali Seif,Male,19,2005-01-01,South Unguja,ZNZ802290,255745457556,Low,2020-05-06,1
PAT000168,Seif Vuai,Male,32,1992-01-01,South Unguja,ZNZ853696,255780256751,Middle,2020-09-27,1
PAT000169,Ali Mwinyi,Male,15,2009-01-01,North B,ZNZ179944,255723053104,Lower-Middle,2021-04-20,1
PAT000170,Zawadi Mwinyi,Female,40,1984-01-01,Urban West,ZNZ119510,255758674916,Upper-Middle,2019-04-03,1
PAT000171,Amina Abdallah,Female,54,1970-01-01,Urban West,,255733834000,Lower-Middle,2020-07-06,1
PAT000172,Mohammed Nassor,Male,54,1970-01-01,Urban West,ZNZ491413,255739783576,Low,2020-04-12,1
PAT000173,Rahma Suleiman,Female,28,1996-01-01,Chake-Chake,,255749788840,Lower-Middle,2020-12-23,1
PAT000174,Haji Suleiman,Male,58,1966-01-01,Urban West,ZNZ651616,255728794744,Low,2020-04-18,1
PAT000175,Safia Haji,Female,34,1990-01-01,Urban West,ZNZ645893,255736584138,Middle,2021-07-07,1
PAT000176,Rashid Salim,Male,29,1995-01-01,Chake-Chake,ZNZ277443,255727069223,Middle,2018-07-12,1
PAT000177,Nasra Hamisi,Female,22,2002-01-01,Urban West,ZNZ291848,255758750452,Lower-Middle,2022-08-06,1
PAT000178,Amour Khatib,Male,30,1994-01-01,Micheweni,ZNZ927401,255712928785,Middle,2019-09-08,1
PAT000179,Asha Juma,Female,26,1998-01-01,North A,ZNZ827662,255786867443,Low,2019-02-10,1
PAT000180,Juma Rashid,Male,37,1987-01-01,Urban West,ZNZ121274,255725516706,Lower-Middle,2022-10-16,1
PAT000181,Haji Ali,Male,37,1987-01-01,North B,ZNZ317220,255747771235,Lower-Middle,2022-11-13,1
PAT000182,Juma Amour,Male,35,1989-01-01,Urban West,ZNZ343768,255786943867,Lower-Middle,2020-07-31,0
PAT000183,Zainab Seif,Female,38,1986-01-01,Mkoani,ZNZ792494,255777252568,Low,2019-12-22,1
PAT000184,Sitawa Said,Female,49,1975-01-01,South Unguja,ZNZ967190,255718454364,Middle,2018-04-03,1
PAT000185,Ibrahim Omar,Male,50,1974-01-01,Urban West,ZNZ917060,255786864536,Low,2019-03-06,1
PAT000186,Mariam Suleiman,Female,9,2015-01-01,Urban West,ZNZ169672,255739169138,Middle,2019-10-16,1
PAT000187,Nasra Omar,Female,0,2024-01-01,North B,ZNZ594209,255774085033,Low,2021-12-28,1
PAT000188,Mariam Abdallah,Female,46,1978-01-01,Urban West,ZNZ364954,255790735137,Middle,2021-11-28,1
PAT000189,Halima Hassan,Female,11,2013-01-01,Urban West,ZNZ695976,255750549223,Low,2019-03-10,1
PAT000190,Hamisi Salim,Male,31,1993-01-01,South Unguja,ZNZ373306,255711286188,Lower-Middle,2021-02-09,1
PAT000191,Hamisi Rashid,Male,16,2008-01-01,Chake-Chake,ZNZ500435,255796972025,Low,2019-01-10,1
PAT000192,Maryam Mwinyi,Female,4,2020-01-01,North B,ZNZ218371,,Middle,2020-12-18,1
PAT000193,Rehema Suleiman,Female,40,1984-01-01,Wete,ZNZ613214,255728561310,Low,2020-12-02,1
PAT000194,Fatuma Juma,Female,43,1981-01-01,Mkoani,ZNZ166188,255787642269,Middle,2018-07-26,1
PAT000195,Suleiman Haji,Male,25,1999-01-01,Urban West,ZNZ862476,255780770961,Low,2020-02-19,1
PAT000196,Haji Hassan,Male,0,2024-01-01,Chake-Chake,ZNZ246731,255781405948,Middle,2021-08-12,1
PAT000197,Khadija Khalid,Female,23,2001-01-01,Chake-Chake,ZNZ874560,255769537422,Low,2021-02-15,1
PAT000198,Latifa Mwinyi,Female,37,1987-01-01,North A,,255794739239,Low,2019-06-16,1
PAT000199,Khadija Seif,Female,9,2015-01-01,Kati,,255784757256,Lower-Middle,2021-05-30,0
PAT000200,Fatuma Mohammed,Female,34,1990-01-01,Urban West,ZNZ625667,255778709584,Low,2018-06-15,1
PAT000201,Maryam Haji,Female,31,1993-01-01,Urban West,ZNZ520840,,Low,2019-10-05,0
PAT000202,Omar Ali,Male,44,1980-01-01,Chake-Chake,ZNZ738922,255757980339,Upper-Middle,2021-03-25,1
PAT000203,Hamisi Nassor,Male,36,1988-01-01,North B,ZNZ419889,255737135236,Upper-Middle,2021-04-22,1
PAT000204,Maryam Suleiman,Female,17,2007-01-01,North A,ZNZ614031,255739107857,Middle,2018-03-31,1
PAT000205,Zuwena Seif,Female,49,1975-01-01,Urban West,ZNZ316915,255725371868,Low,2021-01-22,1
PAT000206,Yusuf Khalid,Male,32,1992-01-01,Chake-Chake,ZNZ236984,255783735788,Low,2018-01-13,1
PAT000207,Ali Nassor,Male,34,1990-01-01,Chake-Chake,ZNZ812392,255735646174,Lower-Middle,2020-08-30,1
PAT000208,Nasra Hassan,Female,18,2006-01-01,South Unguja,ZNZ232797,255767933890,Low,2020-03-15,1
PAT000209,Hamisi Seif,Male,27,1997-01-01,Kati,ZNZ225555,,Upper-Middle,2020-08-02,1
PAT000210,Rashid Khalid,Male,20,2004-01-01,North A,ZNZ623277,255764244317,Low,2020-01-12,1
PAT000211,Rahma Mohammed,Female,29,1995-01-01,Urban West,ZNZ194488,255718164962,Upper-Middle,2022-01-01,1
PAT000212,Rukia Bakari,Female,57,1967-01-01,Wete,ZNZ457188,255775978252,Lower-Middle,2022-04-11,1
PAT000213,Zawadi Omar,Female,11,2013-01-01,Chake-Chake,ZNZ885890,255753004556,Middle,2022-05-30,1
PAT000214,Mohammed Bakari,Male,9,2015-01-01,Urban West,ZNZ481448,255797258185,Low,2020-05-25,0
PAT000215,Latifa Juma,Female,54,1970-01-01,Urban West,ZNZ606289,255748821960,Middle,2021-03-19,1
PAT000216,Suleiman Juma,Male,31,1993-01-01,Chake-Chake,ZNZ298017,255710420993,Low,2019-10-22,1
PAT000217,Seif Ali,Male,24,2000-01-01,Kati,ZNZ952224,255743548071,Middle,2020-10-28,0
PAT000218,Khadija Abdallah,Female,47,1977-01-01,Micheweni,ZNZ771064,255756984860,Middle,2020-11-18,1
PAT000219,Rahma Amour,Female,22,2002-01-01,Urban West,ZNZ332366,255712752690,Low,2018-10-23,1
PAT000220,Asha Juma,Female,59,1965-01-01,Kati,ZNZ939949,255727848408,Lower-Middle,2020-09-12,0
PAT000221,Rukia Amour,Female,42,1982-01-01,Mkoani,ZNZ532750,255778969235,Lower-Middle,2020-07-14,1
PAT000222,Halima Mwinyi,Female,24,2000-01-01,South Unguja,ZNZ607730,255734555728,Low,2022-10-11,1
PAT000223,Hassan Khatib,Male,69,1955-01-01,Chake-Chake,ZNZ554529,255755353996,Lower-Middle,2019-10-02,1
PAT000224,Bakari Mohammed,Male,25,1999-01-01,Chake-Chake,ZNZ364546,255740147291,Low,2018-12-06,1
PAT000225,Ibrahim Hassan,Male,46,1978-01-01,Kati,ZNZ375419,255729138117,Lower-Middle,2019-09-20,0
PAT000226,Bakari Mohammed,Male,39,1985-01-01,Mkoani,,255791952330,Middle,2019-03-15,1
PAT000227,Asha Rashid,Female,51,1973-01-01,Micheweni,ZNZ165908,255757538500,Lower-Middle,2021-03-13,1
PAT000228,Mwinyi Hamisi,Male,59,1965-01-01,Micheweni,ZNZ134112,255739268923,Low,2020-07-30,1
PAT000229,Zuwena Juma,Female,32,1992-01-01,North B,ZNZ186590,255757809902,Middle,2020-04-09,1
PAT000230,Halima Said,Female,20,2004-01-01,Micheweni,ZNZ394768,255722896471,Middle,2022-11-06,1
PAT000231,Zuwena Khatib,Female,38,1986-01-01,Chake-Chake,ZNZ787318,255769304974,Lower-Middle,2019-06-03,0
PAT000232,Sitawa Suleiman,Female,21,2003-01-01,Kati,ZNZ462355,255775256994,Lower-Middle,2020-09-02,1
PAT000233,Rehema Haji,Female,62,1962-01-01,North B,ZNZ330395,255716297042,Lower-Middle,2020-12-04,1
PAT000234,Halima Omar,Female,34,1990-01-01,South Unguja,ZNZ305463,255717200262,Middle,2020-08-12,0
PAT000235,Hamisi Abdallah,Male,29,1995-01-01,North B,ZNZ859994,,Middle,2021-06-16,1
PAT000236,Rukia Khalid,Female,34,1990-01-01,Micheweni,ZNZ676265,255784834030,Low,2020-08-09,0
PAT000237,Juma Abdallah,Male,13,2011-01-01,Micheweni,ZNZ594523,255795495505,Middle,2020-08-01,1
